Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq
TIET4,2.81,PN N2,09/04/2020,AES TIETE E PN N2,1.99,Energia Elétrica,3.73,Energia Elétrica,2561020.0,5607450000.0,31/12/2019,8499640000.0,1995530000.0,2.55,18.68,0.15,12.4,3.86,0.73,-11.08,7.76,35.3,36.41,2.74,35.3,-5.39,0.72,14.6,57.14,-56.78,9.3,-16.0,-1.23,13.9,3.21,5.9,20.7,-1.8,8.2,0.95,0.0,11.75,2.93,-2.8,0.26,7798910000.0,1451170000.0
TIET11,14.4,UNT N2,09/04/2020,AES TIETE E UNT N2,9.97,Energia Elétrica,19.5,Energia Elétrica,45292500.0,5747130000.0,31/12/2019,8639330000.0,1995530000.0,1.91,19.15,0.75,9.76,3.96,3.64,-13.62,7.95,35.3,40.49,2.8,35.3,-10.39,0.74,14.6,72.24,-58.19,9.3,-15.34,-1.27,13.9,-3.5,5.7,20.7,14.54,8.34,0.95,0.0,11.95,2.93,-2.8,0.26,7798910000.0,1451170000.0
AALR3,10.64,ON NM,09/04/2020,ALLIAR ON NM,8.32,Saúde,23.15,"Serviços Médico - Hospitalares, Análises e Diagnósticos",7334810.0,1258640000.0,31/12/2019,1785110000.0,118293000.0,8.68,30.48,0.35,18.22,0.98,10.84,-29.63,10.01,26.5,-27.37,1.17,11.7,-41.41,0.52,4.7,37.16,116.41,5.2,-10.05,-1.9,5.6,1.03,0.8,3.2,-23.68,7.33,1.03,0.0,14.19,0.48,10.3,0.45,2401120000.0,1282190000.0
ALPA4,25.99,PN N1,09/04/2020,ALPARGATAS PN N1,15.09,"Tecidos, Vestuário e Calçados",37.91,Calçados,68201500.0,15283700000.0,31/12/2019,14996200000.0,588062000.0,0.35,55.76,0.47,12.22,5.78,4.49,1.68,25.82,50.3,73.19,4.12,15.9,-21.59,3.38,7.0,143.94,11.29,13.1,0.3,18.58,16.4,78.32,0.2,10.4,43.59,19.96,2.08,14.97,25.33,0.11,-2.5,0.82,4522040000.0,2642930000.0
ALUP11,22.9,UNT N2,09/04/2020,ALUPAR UNT N2,20.86,Energia Elétrica,30.36,Energia Elétrica,21971000.0,6710550000.0,31/12/2019,11364600000.0,879111000.0,-0.61,7.54,3.04,1.78,1.34,17.07,-11.92,2.87,53.7,1.06,1.46,50.9,-17.03,0.35,35.7,53.5,2.0,12.1,3.45,-1.05,15.5,10.91,2.0,17.8,47.97,4.64,2.61,-20.32,4.86,1.71,27.6,0.24,19369700000.0,5002190000.0
ABEV3,12.1,ON NM,09/04/2020,AMBEV S/A ON NM,11.03,Bebidas,20.18,Cervejas e Refrigerantes,490808000.0,190395000000.0,31/12/2019,181543000000.0,15735100000.0,-1.71,16.16,0.75,1.51,3.11,3.89,-17.52,12.21,58.8,-30.08,3.62,29.6,-35.19,1.87,23.2,24.08,72.95,15.3,-25.59,-16.46,20.6,33.1,4.1,19.2,-4.96,9.02,1.1,13.71,11.64,0.05,3.4,0.52,101743000000.0,61278000000.0
ANIM3,19.0,ON NM,09/04/2020,ANIMA ON NM,15.53,Diversos,38.75,Educacional,25296400.0,2100620000.0,31/12/2019,3163730000.0,110559000.0,-2.01,-218.97,-0.09,-0.37,3.04,6.24,-35.26,17.8,43.2,-2.21,1.78,10.0,-36.22,0.88,-0.8,75.24,18.11,4.9,-39.24,-1.68,5.4,108.81,0.0,-1.4,0.53,13.12,1.34,-57.55,26.8,1.8,8.1,0.49,2400020000.0,690435000.0
ARZZ3,37.6,ON NM,09/04/2020,AREZZO CO ON NM,33.03,Comércio,68.5,"Tecidos, Vestuário e Calçados",34334600.0,3419870000.0,31/12/2019,3322970000.0,90954000.0,-4.98,21.09,1.78,1.98,4.58,8.2,-27.09,20.44,46.2,-22.31,2.04,10.0,-41.25,2.42,9.7,19.58,6.63,11.8,3.3,10.91,16.7,129.45,2.1,21.7,23.25,13.42,2.11,-15.69,19.86,0.24,10.7,1.19,1413250000.0,746071000.0
AZUL4,16.3,PN,09/04/2020,AZUL PN,10.35,Transporte,62.41,Transporte Aéreo,233812000.0,5573850000.0,31/12/2019,7382120000.0,341954000.0,-2.92,-2.32,-7.03,-7.12,-1.58,-10.29,-49.22,-4.66,0.7,-54.41,0.49,-10.4,-72.03,0.29,-21.0,61.89,-2.05,-6.2,33.83,-0.3,-7.4,20.09,0.0,68.3,0.0,2.98,0.6,0.0,-6.18,-1.0,19.5,0.6,19197500000.0,-3519170000.0
BTOW3,57.73,ON,09/04/2020,B2W - COMPANHIA GLOBAL DO VAREJO ON,29.63,Comércio,76.56,Produtos Diversos,233669000.0,30206000000.0,31/12/2019,30156100000.0,523229000.0,-5.96,-94.92,-0.61,20.27,5.27,10.96,17.22,196.19,29.7,53.7,4.46,2.3,-8.16,1.88,-4.7,51.36,6.56,1.0,104.99,-33.92,2.3,105.89,0.0,-5.5,-33.06,44.57,1.95,-30.69,195.86,1.12,-8.2,0.42,16056600000.0,5734430000.0
