Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq,N
TIET4,2.81,PN N2,09/04/2020,AES TIETE E PN N2,1.99,Energia Elétrica,3.73,Energia Elétrica,2.561.020,5.607.450.000,31/12/2019,8.499.640.000,1.995.530.000,"2,55%",18.68,0.15,"12,40%",3.86,0.73,"-11,08%","7,76",35.3,"36,41%",2.74,35.3,"-5,39%",0.72,14.6,"57,14%",-56.78,9.3,"-16,00%","-1,23",13.9,"3,21%",5.9,20.7,"-1,80%",8.2,0.95,"0,00%","11,75",2.93,"-2,8%",0.26,7.798.910.000,1.451.170.000,0
TIET11,14.4,UNT N2,09/04/2020,AES TIETE E UNT N2,9.97,Energia Elétrica,19.5,Energia Elétrica,45.292.500,5.747.130.000,31/12/2019,8.639.330.000,1.995.530.000,"1,91%",19.15,0.75,"9,76%",3.96,3.64,"-13,62%","7,95",35.3,"40,49%",2.8,35.3,"-10,39%",0.74,14.6,"72,24%",-58.19,9.3,"-15,34%","-1,27",13.9,"-3,50%",5.7,20.7,"14,54%",8.34,0.95,"0,00%","11,95",2.93,"-2,8%",0.26,7.798.910.000,1.451.170.000,1
AALR3,10.64,ON NM,09/04/2020,ALLIAR ON NM,8.32,Saúde,23.15,"Serviços Médico - Hospitalares, Análises e Diagnósticos",7.334.810,1.258.640.000,31/12/2019,1.785.110.000,118.293.000,"8,68%",30.48,0.35,"18,22%",0.98,10.84,"-29,63%","10,01",26.5,"-27,37%",1.17,11.7,"-41,41%",0.52,4.7,"37,16%",116.41,5.2,"-10,05%","-1,90",5.6,"1,03%",0.8,3.2,"-23,68%",7.33,1.03,"0,00%","14,19",0.48,"10,3%",0.45,2.401.120.000,1.282.190.000,2
ALPA4,25.99,PN N1,09/04/2020,ALPARGATAS PN N1,15.09,"Tecidos, Vestuário e Calçados",37.91,Calçados,68.201.500,15.283.700.000,31/12/2019,14.996.200.000,588.062.000,"0,35%",55.76,0.47,"12,22%",5.78,4.49,"1,68%","25,82",50.3,"73,19%",4.12,15.9,"-21,59%",3.38,7.0,"143,94%",11.29,13.1,"0,30%","18,58",16.4,"78,32%",0.2,10.4,"43,59%",19.96,2.08,"14,97%","25,33",0.11,"-2,5%",0.82,4.522.040.000,2.642.930.000,3
ALUP11,22.9,UNT N2,09/04/2020,ALUPAR UNT N2,20.86,Energia Elétrica,30.36,Energia Elétrica,21.971.000,6.710.550.000,31/12/2019,11.364.600.000,879.111.000,"-0,61%",7.54,3.04,"1,78%",1.34,17.07,"-11,92%","2,87",53.7,"1,06%",1.46,50.9,"-17,03%",0.35,35.7,"53,50%",2.0,12.1,"3,45%","-1,05",15.5,"10,91%",2.0,17.8,"47,97%",4.64,2.61,"-20,32%","4,86",1.71,"27,6%",0.24,19.369.700.000,5.002.190.000,4
ABEV3,12.1,ON NM,09/04/2020,AMBEV S/A ON NM,11.03,Bebidas,20.18,Cervejas e Refrigerantes,490.808.000,190.395.000.000,31/12/2019,181.543.000.000,15.735.100.000,"-1,71%",16.16,0.75,"1,51%",3.11,3.89,"-17,52%","12,21",58.8,"-30,08%",3.62,29.6,"-35,19%",1.87,23.2,"24,08%",72.95,15.3,"-25,59%","-16,46",20.6,"33,10%",4.1,19.2,"-4,96%",9.02,1.1,"13,71%","11,64",0.05,"3,4%",0.52,101.743.000.000,61.278.000.000,5
ANIM3,19.0,ON NM,09/04/2020,ANIMA ON NM,15.53,Diversos,38.75,Educacional,25.296.400,2.100.620.000,31/12/2019,3.163.730.000,110.559.000,"-2,01%",-218.97,-0.09,"-0,37%",3.04,6.24,"-35,26%","17,80",43.2,"-2,21%",1.78,10.0,"-36,22%",0.88,-0.8,"75,24%",18.11,4.9,"-39,24%","-1,68",5.4,"108,81%",0.0,-1.4,"0,53%",13.12,1.34,"-57,55%","26,80",1.8,"8,1%",0.49,2.400.020.000,690.435.000,6
ARZZ3,37.6,ON NM,09/04/2020,AREZZO CO ON NM,33.03,Comércio,68.5,"Tecidos, Vestuário e Calçados",34.334.600,3.419.870.000,31/12/2019,3.322.970.000,90.954.000,"-4,98%",21.09,1.78,"1,98%",4.58,8.2,"-27,09%","20,44",46.2,"-22,31%",2.04,10.0,"-41,25%",2.42,9.7,"19,58%",6.63,11.8,"3,30%","10,91",16.7,"129,45%",2.1,21.7,"23,25%",13.42,2.11,"-15,69%","19,86",0.24,"10,7%",1.19,1.413.250.000,746.071.000,7
AZUL4,16.3,PN,09/04/2020,AZUL PN,10.35,Transporte,62.41,Transporte Aéreo,233.812.000,5.573.850.000,31/12/2019,7.382.120.000,341.954.000,"-2,92%",-2.32,-7.03,"-7,12%",-1.58,-10.29,"-49,22%","-4,66",0.7,"-54,41%",0.49,-10.4,"-72,03%",0.29,-21.0,"61,89%",-2.05,-6.2,"33,83%","-0,30",-7.4,"20,09%",0.0,68.3,"0,00%",2.98,0.6,"0,00%","-6,18",-1.0,"19,5%",0.6,19.197.500.000,-3.519.170.000,8
BTOW3,57.73,ON,09/04/2020,B2W - COMPANHIA GLOBAL DO VAREJO ON,29.63,Comércio,76.56,Produtos Diversos,233.669.000,30.206.000.000,31/12/2019,30.156.100.000,523.229.000,"-5,96%",-94.92,-0.61,"20,27%",5.27,10.96,"17,22%","196,19",29.7,"53,70%",4.46,2.3,"-8,16%",1.88,-4.7,"51,36%",6.56,1.0,"104,99%","-33,92",2.3,"105,89%",0.0,-5.5,"-33,06%",44.57,1.95,"-30,69%","195,86",1.12,"-8,2%",0.42,16.056.600.000,5.734.430.000,9
B3SA3,39.01,ON,09/04/2020,B3 ON,29.57,Serviços Financeiros Diversos,52.3,Serviços Financeiros Diversos,805.785.000,80.327.000.000,31/12/2019,75.220.500.000,2.059.140.000,"-0,76%",29.6,1.32,"8,66%",3.16,12.33,"-3,10%","24,88",89.8,"26,41%",12.21,49.1,"-7,07%",2.01,41.3,"63,26%",33.28,8.1,"20,79%","-19,32",10.6,"40,49%",4.1,10.7,"55,25%",17.66,1.3,"21,98%","23,30",0.17,"33,8%",0.16,40.027.300.000,25.388.000.000,10
BKBR3,9.1,ON NM,09/04/2020,BK BRASIL ON NM,6.85,Hoteis e Restaurantes,22.94,Restaurante e Similares,24.391.200,2.075.760.000,31/12/2019,1.991.530.000,228.105.000,"13,18%",42.76,0.21,"0,44%",1.16,7.83,"-17,57%","16,68",62.2,"-60,57%",0.72,4.3,"-48,66%",0.59,1.7,"-13,73%",10.88,3.5,"18,45%","-2,36",4.7,"-0,85%",0.6,2.7,"0,00%",4.66,1.28,"0,00%","16,01",0.29,"913,9%",0.81,3.528.060.000,1.786.630.000,11
BRML3,9.45,ON,09/04/2020,BR MALLS PARTICIPAÇÔES S/A ON,7.9,Exploração de Imóveis,19.22,Exploração de Imóveis,203.244.000,8.251.190.000,31/12/2019,10.189.600.000,873.141.000,"-5,03%",6.62,1.43,"-5,31%",0.75,12.65,"-31,77%","9,04",89.6,"-17,18%",6.56,72.6,"-47,67%",0.44,110.0,"47,31%",12.48,4.9,"3,37%","-1,38",5.1,"23,28%",9.6,11.3,"39,62%",10.92,2.41,"-25,75%","11,17",0.25,"-2,3%",0.07,18.690.400.000,11.040.800.000,12
BRPR3,8.87,ON NM,09/04/2020,BR PROPERTIES ON NM,7.84,Exploração de Imóveis,16.46,Exploração de Imóveis,30.969.700,4.359.690.000,31/12/2019,4.895.060.000,491.510.000,"-4,93%",14.0,0.63,"-3,17%",0.61,14.66,"-22,87%","17,33",100.0,"-0,78%",11.5,66.3,"-38,74%",0.44,82.1,"76,59%",3.65,2.5,"-21,23%","-3,52",2.9,"41,83%",0.0,4.3,"-10,92%",19.46,4.86,"5,37%","19,46",0.25,"-12,8%",0.04,9.946.280.000,7.204.070.000,13
AGRO3,17.45,ON NM,09/04/2020,BRASILAGRO ON NM,13.8,Exploração de Imóveis,20.75,Exploração de Imóveis,2.051.830,1.083.720.000,31/12/2019,1.448.490.000,62.104.300,"0,87%",26.8,0.65,"0,58%",1.15,15.18,"-1,13%","8,97",30.9,"18,31%",1.91,21.3,"-8,25%",0.72,18.0,"28,51%",4.32,8.0,"31,67%","-11,66",8.9,"15,40%",4.9,4.3,"5,87%",10.06,2.1,"42,41%","11,98",0.49,"12,2%",0.37,1.515.090.000,942.966.000,14
